name,time/op (ns/op)
MulNoCarryELEMENT02,1.02400E+01
MulNoCarryELEMENT03,1.66000E+01
MulNoCarryELEMENT04,2.53000E+01
MulNoCarryELEMENT05,3.76400E+01
MulNoCarryELEMENT06,5.08400E+01
MulNoCarryELEMENT07,7.24400E+01
MulNoCarryELEMENT08,9.43400E+01
MulNoCarryELEMENT09,1.17400E+02
MulNoCarryELEMENT10,1.48000E+02
MulNoCarryELEMENT11,1.78200E+02
MulNoCarryELEMENT12,7.98400E+02
MulNoCarryELEMENT13,9.34750E+02
MulNoCarryELEMENT14,1.09380E+03
MulNoCarryELEMENT15,1.28780E+03
MulNoCarryELEMENT16,1.48920E+03
MulNoCarryELEMENT17,1.68040E+03
MulNoCarryELEMENT18,1.91960E+03
MulNoCarryELEMENT19,2.08820E+03
MulNoCarryELEMENT20,2.35260E+03
MulNoCarryELEMENT21,2.60260E+03
MulNoCarryELEMENT22,2.93160E+03
MulNoCarryELEMENT23,3.06460E+03
MulNoCarryELEMENT24,3.41320E+03
MulNoCarryELEMENT25,3.73120E+03
MulNoCarryELEMENT26,4.13660E+03
MulNoCarryELEMENT27,4.47180E+03
MulNoCarryELEMENT28,5.11320E+03
MulNoCarryELEMENT29,5.71620E+03
MulNoCarryELEMENT30,5.42040E+03
MulNoCarryELEMENT31,6.51320E+03
MulNoCarryELEMENT32,6.73920E+03
